,ID,Name,Father Name,DOB,FamilyNo,StreetAddress,City,Province,Gender
0,42101-3222029-9,Rehan Umair,Umair Sheraz,"May 3, 1970",Z1P731,"House No 63-L, Street No 13, Sector F-2/5",Peshawar,KPK,Male
1,42401-8215409-9,Fazal Mujtaba,Mujtaba Zahid,"Jul 8, 2007",Q5K244,"House No 50-K, Street No 9, Sector O-9/4",Karachi,Sindh,Male
2,42101-2103339-9,Raza Idrees,Idrees Babar,"Jun 26, 1960",T1G614,"House No 18-N, Street No 20, Sector V-6/7",Lahore,Punjab,Male
3,42401-3012889-9,Hajra Jamal,Jamal Abd ul Rehman,"May 9, 1990",Y9X976,"House No 05-Y, Street No 22, Sector W-8/1",Islamabad,Federal State,Female
4,42101-1037089-9,Farwah Abid,Abid Asad,"Dec 7, 1976",G4B141,"House No 47-E, Street No 1, Sector O-2/5",Lahore,Punjab,Female
5,42401-8129099-9,Kainat Ahmed,Ahmed Najam,"May 2, 1994",A4J543,"House No 39-G, Street No 2, Sector S-1/1",Karachi,Sindh,Female
6,42401-3026059-9,Mahnoor Salman,Salman Bilal,"Apr 15, 1961",A6S278,"House No 62-N, Street No 9, Sector E-2/7",Lahore,Punjab,Female
7,42101-1035929-9,Nimra Zain,Zain Amir,"Sep 24, 1986",L8S935,"House No 04-K, Street No 8, Sector R-0/9",Karachi,Sindh,Female
8,42401-1126349-9,Saba Imran,Imran Farooq,"May 5, 1994",Y3P197,"House No 32-W, Street No 10, Sector D-9/8",Peshawar,KPK,Female
9,42401-2217079-9,Talha Malik,Malik Usman,"Jul 25, 1975",Z1P541,"House No 88-D, Street No 8, Sector S-2/3",Lahore,Punjab,Male
10,42101-3061229-9,Moosa Sohaib,Sohaib Bilal,"Apr 22, 1967",G6B503,"House No 97-E, Street No 17, Sector B-5/8",Quetta,Balochistan,Male
11,42101-6222859-9,Hassan Uneeb,Uneeb Zeeshan,"May 10, 2004",V0U280,"House No 29-Q, Street No 22, Sector I-8/0",Quetta,Balochistan,Male
12,42401-1042129-9,Maya Salman,Salman Touseef,"Jul 18, 1972",O6N741,"House No 47-Y, Street No 11, Sector V-7/3",Islamabad,Federal State,Female
13,42401-2087389-9,Abd ul Rehman Sohaib,Sohaib Shehryar,"Dec 5, 1966",Q2B863,"House No 81-B, Street No 15, Sector K-4/2",Karachi,Sindh,Male
